lon,lat
121.486641,25.058441
121.548337,25.022629
121.549137,25.028309
121.548319,25.022637
121.549388,25.026443
121.537153,25.012937
121.549137,25.028293
121.549146,25.028301
121.486641,25.058433
121.548328,25.022629
121.481413,25.019854
121.206582,24.833645
121.489803,25.079223
121.28355,24.900397
121.552245,25.017857
121.486641,25.058449
121.538007,25.010113
121.556674,25.041216
121.539552,25.012405
121.548319,25.022645
121.489794,25.079223
121.54778,25.037426
121.28355,24.902528
121.546496,25.03777
121.551616,25.041756
121.548328,25.022645
121.544034,25.038147
121.548813,25.040479
121.551203,25.042517
121.549128,25.028293
121.551526,25.042271
121.549128,25.028309
121.537153,25.012913
121.549146,25.028309
121.551176,25.042517
121.551212,25.042517
121.551185,25.042517
121.199764,24.819692
121.538555,25.026779
121.553179,25.033064
121.206492,24.833686
121.548319,25.022629
121.428107,25.015188
121.552568,25.041666
121.551194,25.042517
121.202297,24.861776
121.546325,25.040111
121.548337,25.022637
121.55317,25.033874
121.547672,25.037557
121.542866,25.026713
121.556063,25.041224
121.200617,24.822118
121.55414,25.033334
121.551975,25.041936
121.212718,24.841834
121.551499,25.041134
121.551625,25.041772
121.551912,25.041224
121.496073,25.085253
121.553745,25.041224
121.546585,25.03651
121.552577,25.041633
121.55114,25.042353
121.183424,24.821143
121.551131,25.042353
121.551077,25.042337
121.495265,25.059988
121.530703,25.018929
121.212718,24.843941
121.551787,25.041911
121.534737,25.033547
121.554203,25.039734
121.549128,25.028301
121.551652,25.041207
121.46059,25.001444
121.551095,25.042345
121.551158,25.042361
121.554239,25.041224
121.236972,24.886124
121.549496,25.041134
121.545463,25.035642
121.551104,25.042345
121.54513,25.038024
121.548131,25.031092
121.554562,25.038711
121.55458,25.040921
121.200581,24.822176
121.280316,24.899578
121.213355,24.836555
121.557006,25.029602
121.551086,25.042337
121.539498,25.012921
121.52985,25.019109
121.552523,25.041289
121.35723,24.974712
121.538025,25.024773
121.5484,25.042108
121.534548,25.027032
121.554158,25.038515
121.551122,25.042353
121.552209,25.041977
121.551625,25.042279
121.556988,25.029594
121.494618,25.075493
121.539606,25.01225
121.551167,25.041453
121.475942,25.022105
121.55246,25.041207
121.495265,25.059996
121.552577,25.041641
121.540073,25.012913
121.557033,25.029619
121.55246,25.041838
121.539911,25.013101
121.542013,25.014754
121.551634,25.041224
121.556997,25.029602
121.534746,25.029226
121.550888,25.042189
121.557042,25.029619
121.549855,25.038114
121.557168,25.028956
121.548292,25.022686
121.545912,25.027499
121.537153,25.012929
121.546424,25.039325
121.202297,24.859662
121.552451,25.024618
121.530712,25.019027
121.539381,25.011939
121.212718,24.850285
121.552101,25.042279
121.530712,25.018978
121.495265,25.060004
121.55096,25.042263
121.543064,25.03092
121.494618,25.075501
121.552568,25.041657
121.552586,25.0416
121.543136,25.038343
121.530694,25.018905
121.497672,25.061976
121.551176,25.033498
121.557177,25.028956
121.551661,25.042075
121.551167,25.042361
121.538959,25.010858
121.549146,25.028293
121.212718,24.848171
121.551149,25.042353
121.548301,25.022694
121.548283,25.022686
121.317749,24.94994
121.550924,25.04223
121.527362,25.019052
121.551113,25.042345
121.551185,25.042361
121.537414,25.019035
121.554176,25.039693
121.501319,25.065961
121.551553,25.041166
121.548077,25.04088
121.480604,25.079681
121.543765,25.037991
121.495283,25.059996
121.550933,25.042247
121.249926,24.834637
121.550906,25.042214
121.556683,25.041232
121.543846,25.038016
121.554194,25.039734
121.551176,25.042361
121.529841,25.019109
121.550951,25.042263
121.53868,25.034382
121.551005,25.042296
121.551113,25.041142
121.552577,25.041625
121.532967,25.017267
121.53294,25.017177
121.543684,25.036199
121.557069,25.029627
121.456314,25.00697
121.551014,25.042304
121.53983,25.034112
121.543181,25.03822
121.550942,25.042247
121.260265,24.815166
121.529841,25.019027
121.286137,24.870275
121.497663,25.061992
121.530703,25.01897
121.489794,25.079215
121.553404,25.01969
121.535428,25.017775
121.453259,24.9969
121.550978,25.042279
121.550897,25.042206
121.268332,24.903617
121.542893,25.02411
121.551176,25.033506
121.543935,25.0256
121.551032,25.042312
121.434826,25.028718
121.551347,25.042353
121.457383,25.063891
121.456305,25.006912
121.262682,24.898939
121.551086,25.041117
121.557096,25.029635
121.551068,25.042329
121.555901,25.038417
121.550969,25.042271
121.556242,25.037328
121.535464,25.015876
121.550861,25.042157
121.548166,25.037124
121.551616,25.041764
121.548373,25.022686
121.551859,25.042304
121.497681,25.061968
121.556979,25.029594
121.551356,25.042353
121.456314,25.006962
121.543944,25.025592
121.53082,25.024961
121.536327,25.013666
121.55105,25.04232
121.551194,25.042361
121.548131,25.031084
121.24132,24.876323
121.554464,25.032991
121.55255,25.041355
121.213355,24.83444
121.554796,25.026484
121.284304,24.870087
121.55202,25.034267
121.502496,25.064226
121.552676,25.040659
121.547385,25.02596
121.53753,25.014902
121.460841,25.001452
121.552595,25.041502
121.543953,25.025575
121.536345,25.013666
121.543441,25.032115
121.434835,25.028718
121.529832,25.019035
121.177926,24.825357
121.529841,25.019044
121.542839,25.026697
121.547385,25.025976
121.548355,25.022694
121.551104,25.041134
121.551203,25.042361
121.55123,25.042369
121.489812,25.079223
121.552999,25.033932
121.541501,25.022481
121.548337,25.022694
121.534422,25.027024
121.556979,25.029586
121.555883,25.038409
121.456314,25.006937
121.552559,25.041682
121.540899,25.014853
121.481619,25.061829
121.543325,25.023766
121.50246,25.064283
121.548346,25.022694
121.548382,25.022678
121.206582,24.835776
121.545921,25.027491
121.54973,25.039751
121.550843,25.042108
121.549388,25.028579
121.550924,25.042239
121.552541,25.041338
121.548131,25.031067
121.550978,25.042271
121.550942,25.042255
121.453358,24.997326
121.557051,25.029627
121.550906,25.042206
121.557132,25.028964
121.53294,25.0173
121.557024,25.02961
121.541878,25.021033
121.246216,24.813649
121.557087,25.028972
121.552469,25.041224
121.550987,25.042288
121.470768,25.024118
121.551625,25.041764
121.552002,25.040962
121.532985,25.017251
121.543334,25.023775
121.548391,25.022604
121.335787,24.989524
121.551077,25.041109
121.551679,25.041977
121.554571,25.040921
121.224611,24.822364
121.548077,25.040888
121.54027,25.01622
121.540854,25.038302
121.552577,25.041412
121.27524,24.598883
121.543343,25.023775
121.542857,25.026705
121.201525,24.61765
121.55397,25.022015
121.553907,25.022007
121.170703,24.828644
121.551122,25.042345
121.532922,25.017317
121.557123,25.028964
121.557078,25.029635
121.551239,25.042361
121.212718,24.8524
121.553952,25.022015
121.550376,25.034284
121.548131,25.031075
121.551302,25.042361
121.551005,25.042304
121.538842,25.034161
121.541905,25.021024
121.551679,25.041985
121.55255,25.041576
121.529841,25.019052
121.547385,25.025985
121.530703,25.018978
121.550502,25.034276
121.54593,25.027491
121.55114,25.041166
121.456314,25.006953
121.539983,25.013117
121.471477,25.022211
121.542902,25.024127
121.318755,24.615999
121.529832,25.019027
121.551059,25.041085
121.545714,25.035585
121.532931,25.017194
121.550861,25.042149
121.553925,25.022007
121.556251,25.037328
121.551149,25.041175
121.532922,25.017308
121.529841,25.019068
121.55202,25.04097
121.291895,24.921362
121.552496,25.041256
121.552577,25.041437
121.551068,25.042337
121.200438,24.820036
121.530676,25.018872
121.553961,25.039472
121.537153,25.012921
121.55246,25.024618
121.443261,25.007101
121.540127,25.0127
121.551868,25.042304
121.552586,25.041445
121.557248,25.028964
121.54814,25.031067
121.174225,24.822323
121.548283,25.030912
121.556188,25.037328
121.55644,25.040454
121.551571,25.041494
121.552155,25.041404
121.556709,25.041347
121.257831,24.835719
121.456305,25.006921
121.203761,24.836006
121.551679,25.042009
121.557204,25.028956
121.553871,25.022015
121.553943,25.022015
121.453277,24.9969
121.551679,25.041936
121.279148,24.889598
121.555766,25.038711
121.557015,25.02961
121.532689,25.019666
121.552416,25.033334
121.530236,25.018626
121.55052,25.034267
121.497663,25.061984
121.529841,25.018986
121.552424,25.04187
121.501328,25.065953
121.530694,25.018929
121.50246,25.064275
121.496082,25.085253
121.456511,25.016948
121.550906,25.042222
121.533093,25.020042
121.550888,25.042198
121.538707,25.011726
121.552029,25.040978
121.076749,24.745077
121.532904,25.017325
121.497672,25.061968
121.55591,25.038425
121.545561,25.026648
121.556431,25.040463
121.539399,25.012806
121.551661,25.042083
121.556988,25.029013
121.53824,25.012471
121.546154,25.039391
121.547681,25.037549
121.557257,25.028964
121.554625,25.032991
121.532742,25.017382
121.552514,25.041281
121.552398,25.041158
121.556781,25.041477
121.551652,25.042099
121.443252,25.007109
121.552478,25.04124
121.556278,25.037336
121.550915,25.042214
121.551095,25.042337
121.308658,24.847097
121.552577,25.041617
121.529841,25.01906
121.551616,25.042149
121.543944,25.025584
121.497654,25.062001
121.460751,25.001387
121.551113,25.04115
121.539615,25.01225
121.274531,24.600904
121.55246,25.02461
121.552586,25.041608
121.497277,25.061992
121.465423,25.009941
121.556718,25.041387
121.550879,25.042165
121.529859,25.019142
121.532868,25.017349
121.541959,25.021024
121.556674,25.041224
121.551338,25.042361
121.557159,25.028956
121.548328,25.022637
121.463833,25.01807
121.551391,25.042345
121.550879,25.042189
121.212718,24.854515
121.502469,25.064283
121.544106,25.038261
121.549765,25.039251
121.557141,25.028964
121.309215,24.854302
121.543819,25.038007
121.551059,25.042329
121.54867,25.040111
121.540261,25.018332
121.550538,25.034267
121.205585,24.876438
121.551715,25.041854
121.55185,25.042304
121.541941,25.021024
121.541923,25.021024
121.538007,25.010121
121.551338,25.042353
121.551239,25.042369
121.55087,25.042173
121.540854,25.040446
121.552362,25.02393
121.547385,25.025952
121.551409,25.042329
121.55185,25.024053
121.552568,25.041674
121.543369,25.023791
121.555236,25.038392
121.532949,25.017292
121.538923,25.025436
121.557356,25.035258
121.463833,25.017006
121.550251,25.020795
121.551077,25.041101
121.078141,24.746767
121.551571,25.04151
121.552487,25.024593
121.551248,25.041207
121.497681,25.06196
121.552469,25.02461
121.555084,25.038392
121.532958,25.017276
121.550933,25.042239
121.552505,25.041289
121.541223,25.028604
121.529841,25.019101
121.210544,24.824168
121.187421,24.856457
121.540109,25.012716
121.545292,25.03908
121.551607,25.042189
121.540109,25.012724
121.551212,25.042369
121.550987,25.042279
121.553188,25.033072
121.54814,25.031059
121.551131,25.041158
121.54336,25.023783
121.557168,25.028964
121.530694,25.018921
121.485338,25.077513
121.534036,25.033498
121.551248,25.042369
121.552586,25.041617
121.553116,25.044006
121.538716,25.012995
121.551688,25.041224
121.532778,25.017382
121.554536,25.03561
121.550915,25.04223
121.550915,25.042222
121.55167,25.042018
121.550861,25.04214
121.456673,25.006544
121.470552,25.062344
121.530667,25.018855
121.542893,25.024118
